Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
fc_part10,32768,0.2873060405254364,2.0416181048646823e-09,0.0001330180484056564,0.03854802818164927,1.130804767130076
fc_part6,32768,0.2539514899253845,1.5067199053915729e-09,0.00010062912398624849,0.028693013137374514,0.866711993073579
fc_part25,32768,0.2501307725906372,1.5103807910391017e-09,0.00010073050290848552,0.02883373598545031,0.8604024009026038
fc_part22,32768,0.24312400817871094,1.4078746676949621e-09,9.178716503436338e-05,0.026856551885233667,0.7945643865823968
fc_part1,32768,0.2434522807598114,1.3703660702156925e-09,9.108165087244914e-05,0.026271374167012612,0.7777135131441623
fc_part8,32768,0.2091449350118637,1.3571447334063876e-09,8.951537340084511e-05,0.025622954498432608,0.7623924727131248
fc_part14,32768,0.23556707799434662,1.338174155905106e-09,8.882075816199891e-05,0.02557271125101119,0.7614867352670612
fc_part24,32768,0.21929864585399628,1.3299712528445952e-09,8.727821986410384e-05,0.02530313124076922,0.7527095530738175
fc_part20,32768,0.22527486085891724,1.233184880898437e-09,8.261130365785164e-05,0.02369883762375215,0.7046796879006961
fc_part23,32768,0.20907355844974518,1.2361093862864946e-09,8.177459118101702e-05,0.02341826634213153,0.7045420895514115
fc_part2,32768,0.1981387883424759,1.202323285066197e-09,7.95223909368533e-05,0.022767775704703463,0.6867236919039186
fc_part27,32768,0.19019751250743866,1.154889879927077e-09,7.634583076387734e-05,0.02176449811153726,0.6494423393402314
fc_part28,32768,0.17430076003074646,1.109085761223191e-09,7.348165432259816e-05,0.02108937149810365,0.6349689508291183
fc_part31,32768,0.16538208723068237,1.100861222093968e-09,7.255664915538525e-05,0.021038581771612715,0.6213826156970585
fc_part29,32768,0.18442510068416595,1.090686324603427e-09,7.147535066881166e-05,0.020737012530281585,0.617787099753685
fc_part19,32768,0.16623176634311676,1.0029384673658153e-09,6.633200331785539e-05,0.019154534328404103,0.5711238074053825
fc_part0,32768,0.14934366941452026,9.608418923248851e-10,6.330390672066527e-05,0.01809916786864763,0.5443401145073574
fc_part18,32768,0.14523819088935852,9.480175587696496e-10,6.19362923444308e-05,0.017733808282739964,0.529798055630764
fc_part11,32768,0.1636936366558075,9.159097343131655e-10,6.039542653828905e-05,0.017595894311887607,0.5235133924352027
fc_part30,32768,0.160752534866333,9.065885626974037e-10,5.9759025794734595e-05,0.017272962092626458,0.5129603709290715
fc_part5,32768,0.1468043476343155,8.942928678978665e-10,5.893920538166509e-05,0.017095133073817992,0.5086933434338321
fc_part13,32768,0.1442914754152298,8.964556825278913e-10,5.890088327973541e-05,0.01698104284799425,0.5079341563183969
fc_part7,32768,0.1230468899011612,8.283571675503339e-10,5.4834254028671806e-05,0.015847786380739557,0.4696384363831051
fc_part12,32768,0.12646286189556122,8.183447918270614e-10,5.358967432577892e-05,0.015331123543503933,0.4549478486419456
fc_part9,32768,0.12486466020345688,7.860649939861705e-10,5.195163014836084e-05,0.014924326641178138,0.4425769482853595
fc_part17,32768,0.12315769493579865,7.483265643421733e-10,4.948698454608861e-05,0.014088113831133602,0.4223822004946692
fc_part3,32768,0.12895309925079346,7.419289477908353e-10,4.895659511755274e-05,0.014243152817269372,0.4185118614850205
fc_part16,32768,0.1154899001121521,6.992915671197547e-10,4.6190425343946116e-05,0.01315342819092197,0.3986371951223812
fc_part21,32768,0.11740169674158096,6.780418985947234e-10,4.426570876780664e-05,0.012805536923914144,0.38458309638126587
fc_part26,32768,0.11186417937278748,5.85220275653442e-10,3.887520600449822e-05,0.011175450013283636,0.3336309729898804
conv,36,3.5127768516540527,6.37573862404845e-10,4.5385747815236255e-05,0.01266242869508747,0.2768335640453021
fc_part15,32768,0.05253884941339493,3.328239836709632e-10,2.1928523620327592e-05,0.0063397212731151,0.18849872986601007
fc_part4,32768,0.05692911520600319,3.19194686909705e-10,2.111604904176543e-05,0.006080688517583411,0.18232271150118132
