Layer,Params,ExactOmg_INT16,ExactOmg_INT8,ExactOmg_INT4,ExactOmg_INT2,Omg_INT8,Omg_INT4,Omg_INT2,Ratio_INT8,Ratio_INT4
stem.0,576,0.0,0.00036507063399767505,1.8346696507930755,14.731601009368896,0.9128178051833044,285.6892519322738,3580.505866294238,0.00039993811681222045,0.006421906453897701
layers.0.vss.1.in_proj,4096,0.0,-1.9861674539924935e-05,-0.003395718417596072,-0.08809792622923851,0.0101722073769616,2.8798304546328,42.19632334870106,-0.001952543219371285,-0.001179138310775678
layers.0.vss.1.out_proj,2048,0.0,9.723298644530587e-06,0.004694122544024139,0.025636356193572282,0.0147567718986022,4.350838708726916,79.61772305891988,0.0006589041771020126,0.001078900611647282
layers.0.vss.1.conv2d,576,0.0,-6.270996027524234e-06,-0.00039330239160335624,-0.017788268893491478,0.0001364397089092,0.0342154580800619,0.3411998813672815,-0.0459616637829208,-0.011494874354248152
layers.1.vss.1.in_proj,4096,0.0,6.534163650030678e-05,0.03518252540845424,0.20033825725317,0.1496310328128456,41.50313718689838,449.5416973932017,0.0004366850597231011,0.0008477076142465825
layers.1.vss.1.out_proj,2048,0.0,0.000534846826158173,0.0994923635525629,0.4356846884265542,0.0709732567871374,19.961277412051057,103.3533430067872,0.007535892396234298,0.004984268366136588
layers.1.vss.1.conv2d,576,0.0,-6.966549963749458e-07,-0.0011768934025167255,-0.015933007727144285,0.0008045878041091,0.1808441512909589,2.2485024538478844,-0.0008658532888729708,-0.006507776967711994
proj_conv,256,0.0,2.976471369038336e-05,0.00959674259647727,0.6095475924015045,0.0073284221202585,1.9515526492732849,38.924603722550366,0.004061544654763071,0.004917491003919821
fc_part0,32768,0.0,7.785515675777788e-06,0.0030134347127750514,0.07104627121239901,0.1874495611549613,54.21372580989177,1072.6186416394382,4.153392319409933e-05,5.558435004710973e-05
fc_part1,32768,0.0,8.543443843791465e-06,0.0011725761333946138,0.06070280846208334,0.2047499911024892,58.78310604747431,1172.5858140389607,4.172622327253229e-05,1.994750213518183e-05
fc_part2,32768,0.0,8.292878513884716e-06,0.004213172120507806,0.04894237953238189,0.2266364628619552,65.41524338074389,1206.364156030584,3.6591104578506976e-05,6.44065802214538e-05
fc_part3,32768,0.0,1.747720859157198e-05,0.0032555964426137507,0.08951394248753786,0.2170784611197206,62.55498948480158,1183.9211515366255,8.051102122901613e-05,5.204375333489159e-05
fc_part4,32768,0.0,5.941914023424033e-06,0.0022699064400512727,0.05847485013306141,0.1798139899354746,51.78481772119252,1052.2063668817104,3.3044781585438714e-05,4.383343497069667e-05
fc_part5,32768,0.0,5.557033830427827e-06,0.0022574768064077943,0.06416202768683434,0.1826041488620262,53.1909122506467,1072.4579126186547,3.043213347045397e-05,4.244102443233332e-05
fc_part6,32768,0.0,4.607339724316261e-06,0.0009163041622377932,0.060672429050318895,0.1714194738691172,49.28705714605238,986.2290624862608,2.6877574760462006e-05,1.859117211081417e-05
fc_part7,32768,0.0,7.4032019801961725e-06,0.002712447374360636,0.06051375918090343,0.219752732026842,63.75410201794592,1203.0258108838332,3.368878244158484e-05,4.25454565040712e-05
fc_part8,32768,0.0,8.492217093589715e-06,0.003378160448046401,0.07441114225424826,0.2437373755231357,70.59320522431416,1305.0351340251057,3.484166954437248e-05,4.785390374770621e-05
fc_part9,32768,0.0,9.170029816232273e-06,0.0018799105146899819,0.06334345635026693,0.1668589861609729,48.57123384231618,1030.301895649248,5.4956763355769905e-05,3.870419517842613e-05
fc_part10,32768,0.0,1.0858860805456062e-05,0.004118471194524318,0.06236205965280533,0.1895288527196963,54.63219620502613,1101.3200223638926,5.7293972129487716e-05,7.53854225275575e-05
fc_part11,32768,0.0,6.587597940779233e-06,0.0023585637588985266,0.059884159192442894,0.2007078470201981,57.52426325897865,1127.7857291993685,3.2821825546842194e-05,4.10011988902855e-05
fc_part12,32768,0.0,6.834137902842485e-06,0.005846743351430633,0.06371954093687236,0.2090484519152,60.38156554011328,1146.9076537425929,3.2691645598096734e-05,9.682993971970578e-05
fc_part13,32768,0.0,7.431974472638103e-06,0.002579051364446059,-0.011258191540837287,0.2249610077625825,64.87232451785668,1175.3020153413895,3.303672288168979e-05,3.97558031658963e-05
fc_part14,32768,0.0,4.381479720905191e-06,0.0017783210251946001,0.04463935740292072,0.1726646446935736,49.695546262047806,1054.9592181554594,2.537566233481651e-05,3.5784313866224536e-05
fc_part15,32768,0.0,7.250940620906477e-06,0.0026936735317576676,0.03702374495565891,0.1844447456205179,53.89160212811169,1060.132510827123,3.931226447526338e-05,4.998317781227283e-05
fc_part16,32768,0.0,6.833116019606678e-06,0.003606491559185088,0.11805692888796329,0.1691879761159395,49.421751251143824,1005.460325950878,4.0387716529714534e-05,7.297377101952895e-05
fc_part17,32768,0.0,1.3883942069696786e-05,0.0025529401761014013,0.15105884324759244,0.1977349788874771,56.66516943299414,1117.6782168562836,7.021490152026956e-05,4.505307584265183e-05
fc_part18,32768,0.0,1.621897936274763e-06,0.001982696565974038,0.08273899376392364,0.1556048161267318,45.33089805143378,946.8125097024206,1.0423185969731258e-05,4.3738303258947394e-05
fc_part19,32768,0.0,2.664744718003931e-06,0.002194158447091468,0.0743801467306912,0.1936819328084186,55.49960667367461,1101.7669046180552,1.375835463517279e-05,3.9534666614713744e-05
fc_part20,32768,0.0,3.931150545213314e-06,0.0021372066531330346,0.04641954630613327,0.1656058444506684,47.810959475828255,986.2715260383331,2.3737994019796487e-05,4.47011872709549e-05
fc_part21,32768,0.0,7.127651729206264e-06,0.0015503638237714767,0.061720461547374726,0.1796083038148991,51.76199826691929,1023.1910121493736,3.968442203291383e-05,2.995177689579853e-05
fc_part22,32768,0.0,1.4525246656376112e-05,0.0023116946511436256,0.07174540836364031,0.1896258188622173,54.76905229003176,1069.413257568492,7.659951974646554e-05,4.2208045501717865e-05
fc_part23,32768,0.0,9.276101400246261e-06,0.0026683903427328916,0.06361250709742308,0.2162124484403871,62.10352989165614,1170.6526974639746,4.290271659729998e-05,4.296680635364981e-05
fc_part24,32768,0.0,7.553829768767173e-06,0.0024553999537602067,0.04115748640149832,0.1979096691445308,57.1512636693969,1087.3747001256927,3.816806829812197e-05,4.2963178696519586e-05
fc_part25,32768,0.0,1.959219257514633e-05,0.0022657991322921588,0.06267290838062763,0.2009931950984819,57.936976815943446,1119.8307099931776,9.747689500406529e-05,3.9107997289714336e-05
fc_part26,32768,0.0,6.121951832938066e-06,0.0014366637670900672,0.32347723495215175,0.1707861328549201,49.283080324185725,1007.4916186640322,3.584571961787178e-05,2.9151257543961247e-05
fc_part27,32768,0.0,5.624070586236485e-06,0.0027110307203838603,0.0535320594906807,0.2111079573637536,60.727511124633736,1168.6868413484954,2.664073233651644e-05,4.4642546189977934e-05
fc_part28,32768,0.0,7.5081352105144105e-06,0.0026835135160945354,0.08260404638946056,0.1926268210464504,55.167323011068426,1090.797515986544,3.8977620923847796e-05,4.8643170805227074e-05
fc_part29,32768,0.0,7.150908149924362e-06,0.001973367091268301,0.07189026538282633,0.1859346176060342,54.03345649115672,1082.8479513532102,3.845926187384856e-05,3.652120777413653e-05
fc_part30,32768,0.0,7.699280522501795e-06,0.001968382505583577,0.04137308482080698,0.1993313487754162,57.70609421239229,1130.0582949074694,3.862553767785149e-05,3.411047884022049e-05
fc_part31,32768,0.0,3.25601307577017e-05,0.008157548410817981,0.12169781628996133,0.6555043846819272,191.7021683570751,1623.3031233256695,4.967187332164219e-05,4.2553240167963456e-05
