position,csinet_w8,csinet_w4,csinet_w2
0.000000000000000000e+00,2.058881727862171829e-05,3.002868033945560455e-04,1.373801380395889282e-03
1.000000000000000000e+00,2.808118188113439828e-05,4.411729169078171253e-04,1.057544955983757973e-03
2.000000000000000000e+00,3.647332414402626455e-05,5.422441172413527966e-04,1.493052695877850056e-03
3.000000000000000000e+00,4.540800000540912151e-05,6.541736656799912453e-04,2.055772813037037849e-03
4.000000000000000000e+00,5.730268458137288690e-05,8.323549991473555565e-04,3.092588623985648155e-03
5.000000000000000000e+00,6.218822818482294679e-05,8.630987140350043774e-04,3.326091216877102852e-03
6.000000000000000000e+00,7.417595770675688982e-05,1.050631632097065449e-03,4.145428538322448730e-03
7.000000000000000000e+00,8.737620373722165823e-05,1.314157270826399326e-03,4.736574832350015640e-03
8.000000000000000000e+00,1.193718999275006354e-04,1.590288826264441013e-03,6.347841117531061172e-03
9.000000000000000000e+00,1.579433155711740255e-04,2.100395970046520233e-03,8.829954080283641815e-03
1.000000000000000000e+01,1.926707336679100990e-04,2.719791606068611145e-03,1.211233250796794891e-02
1.100000000000000000e+01,2.557989791966974735e-04,3.466357709839940071e-03,1.551164872944355011e-02
1.200000000000000000e+01,3.005379403475672007e-04,4.043931607156991959e-03,2.082677930593490601e-02
1.300000000000000000e+01,3.499836020637303591e-04,4.840918350964784622e-03,2.516874298453330994e-02
1.400000000000000000e+01,3.644924145191907883e-04,5.008599720895290375e-03,2.707900665700435638e-02
1.500000000000000000e+01,3.502201579976826906e-04,5.199276842176914215e-03,2.748964726924896240e-02
1.600000000000000000e+01,2.971867506857961416e-04,4.365115426480770111e-03,2.282911539077758789e-02
1.700000000000000000e+01,2.487104793544858694e-04,3.514626994729042053e-03,1.979628764092922211e-02
1.800000000000000000e+01,1.969913864741101861e-04,2.723248675465583801e-03,1.434773672372102737e-02
1.900000000000000000e+01,1.483282394474372268e-04,2.313112607225775719e-03,1.190111413598060608e-02
2.000000000000000000e+01,1.295618567382916808e-04,1.872671651653945446e-03,9.701310656964778900e-03
2.100000000000000000e+01,1.114374972530640662e-04,1.594376168213784695e-03,7.226451765745878220e-03
2.200000000000000000e+01,9.427945769857615232e-05,1.342617324553430080e-03,5.974725820124149323e-03
2.300000000000000000e+01,8.546165918232873082e-05,1.233454560860991478e-03,5.434777587652206421e-03
2.400000000000000000e+01,7.948489655973389745e-05,1.102647162042558193e-03,4.900679923593997955e-03
2.500000000000000000e+01,7.226148591144010425e-05,1.036403351463377476e-03,4.442240111529827118e-03
2.600000000000000000e+01,6.202774966368451715e-05,9.827273897826671600e-04,4.283152520656585693e-03
2.700000000000000000e+01,6.266504351515322924e-05,9.162381757050752640e-04,4.215917084366083145e-03
2.800000000000000000e+01,6.184386438690125942e-05,8.310167468152940273e-04,3.792611416429281235e-03
2.900000000000000000e+01,5.831965609104372561e-05,8.079368271864950657e-04,3.666648408398032188e-03
3.000000000000000000e+01,5.863501792191527784e-05,8.103960426524281502e-04,3.716221312060952187e-03
3.100000000000000000e+01,4.250163692631758749e-05,5.913325003348290920e-04,3.390173660591244698e-03
3.200000000000000000e+01,2.098036748066078871e-05,4.517765773925930262e-04,1.379714347422122955e-03
3.300000000000000000e+01,3.183515218552201986e-05,5.986387259326875210e-04,1.342576462775468826e-03
3.400000000000000000e+01,4.036906102555803955e-05,7.487219991162419319e-04,1.862462260760366917e-03
3.500000000000000000e+01,4.439632539288140833e-05,8.668914088048040867e-04,2.481581876054406166e-03
3.600000000000000000e+01,5.708891694666817784e-05,1.109004602767527103e-03,3.316906979307532310e-03
3.700000000000000000e+01,6.757870869478210807e-05,1.254024449735879898e-03,3.831000765785574913e-03
3.800000000000000000e+01,7.495043973904103041e-05,1.452356576919555664e-03,4.230555146932601929e-03
3.900000000000000000e+01,9.532801777822896838e-05,1.757663325406610966e-03,5.444443784654140472e-03
4.000000000000000000e+01,1.152722397819161415e-04,2.285671187564730644e-03,7.397477515041828156e-03
4.100000000000000000e+01,1.631611521588638425e-04,2.979123033583164215e-03,1.056561805307865143e-02
4.200000000000000000e+01,2.121057914337143302e-04,3.848654916509985924e-03,1.417518220841884613e-02
4.300000000000000000e+01,2.705772349145263433e-04,5.032905377447605133e-03,1.924445480108261108e-02
4.400000000000000000e+01,3.102512273471802473e-04,5.694874562323093414e-03,2.354270219802856445e-02
4.500000000000000000e+01,3.721136017702519894e-04,6.918443366885185242e-03,2.816415205597877502e-02
4.600000000000000000e+01,3.898447321262210608e-04,6.892984732985496521e-03,2.929356880486011505e-02
4.700000000000000000e+01,3.796085657086223364e-04,6.790757179260253906e-03,2.832334302365779877e-02
4.800000000000000000e+01,3.367000608704984188e-04,5.761588457971811295e-03,2.386805228888988495e-02
4.900000000000000000e+01,2.800573711283504963e-04,4.646307788789272308e-03,1.781107299029827118e-02
5.000000000000000000e+01,2.200200542574748397e-04,3.695585532113909721e-03,1.498782541602849960e-02
5.100000000000000000e+01,1.789143425412476063e-04,3.010682528838515282e-03,1.185270491987466812e-02
5.200000000000000000e+01,1.496706681791692972e-04,2.593282377347350121e-03,9.725545533001422882e-03
5.300000000000000000e+01,1.221784332301467657e-04,2.131294459104537964e-03,7.971240207552909851e-03
5.400000000000000000e+01,1.082847593352198601e-04,1.810323446989059448e-03,6.638403050601482391e-03
5.500000000000000000e+01,9.466172195971012115e-05,1.632388215512037277e-03,6.085887085646390915e-03
5.600000000000000000e+01,8.705589425517246127e-05,1.556530594825744629e-03,5.542690400034189224e-03
5.700000000000000000e+01,7.919962081359699368e-05,1.429779105819761753e-03,5.063215736299753189e-03
5.800000000000000000e+01,7.498225750168785453e-05,1.317768706940114498e-03,4.430571570992469788e-03
5.900000000000000000e+01,7.060002826619893312e-05,1.213322277180850506e-03,4.405328072607517242e-03
6.000000000000000000e+01,6.895785918459296227e-05,1.204489613883197308e-03,4.259608220309019089e-03
6.100000000000000000e+01,6.425954052247107029e-05,1.143654226325452328e-03,3.805524669587612152e-03
