encoder2.conv,encoder_fc_part19,encoder_fc_part22,encoder_fc_part8,encoder_fc_part11,encoder_fc_part5,encoder_fc_part1,encoder_fc_part7,encoder1.conv3x3_bn.conv,encoder_fc_part14,encoder_fc_part10,encoder_fc_part20,encoder_fc_part0,encoder_fc_part15,encoder_fc_part29,encoder_fc_part13,encoder_fc_part6,encoder_fc_part23,encoder_fc_part28,encoder_fc_part16,encoder_fc_part3,encoder_fc_part2,encoder_fc_part18,encoder_fc_part4,encoder_fc_part27,encoder_fc_part25,encoder_fc_part17,encoder_fc_part9,encoder_fc_part21,encoder_fc_part26,encoder_fc_part24,encoder_fc_part31,encoder_fc_part12,encoder_fc_part30,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,16,16,8,88.0,88.08606712131267,0.002489976794968289,-12.920907655029122,-12.91798924902106
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,16,88.2,88.28113676758893,0.003387716739901752,-12.917445239726224,-12.914279403159682
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,8,88.1,88.28135131320991,0.0033878237276357193,-12.917404688943941,-12.914279403159682
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,8,88.3,88.47663550510714,0.004407651066497724,-12.915387715196749,-12.912131697111937
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,8,88.4,88.47663550510714,0.004407651066497724,-12.915387715196749,-12.912131697111937
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,16,16,8,88.5,88.67191969700437,0.005475313037990729,-12.912999455867613,-12.90902512891856
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,16,16,8,88.6,88.67191969700437,0.005468617397007015,-12.912114604356702,-12.90902512891856
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,8,88.7,88.8672038889016,0.00653627936850002,-12.90975414460306,-12.906696434921951
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,8,88.8,88.8672038889016,0.00653627936850002,-12.90975414460306,-12.906696434921951
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,16,16,8,88.9,89.06248808079884,0.00762419673812246,-12.908053548718684,-12.904937084368575
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,16,16,8,89.0,89.06248808079884,0.007641835736698335,-12.906800016063453,-12.904937084368575
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.1,89.25777227269607,0.008729753106320777,-12.905160329745202,-12.901791450710494
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.2,89.25777227269607,0.008729753106320777,-12.905160329745202,-12.901791450710494
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.3,89.45305646459329,0.009931973228530974,-12.903582244624367,-12.898329995828801
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.4,89.45305646459329,0.009900184155035041,-12.901339067482043,-12.898329995828801
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,16,16,16,8,8,8,8,8,8,8,8,8,16,16,16,89.5,89.64812611086955,0.011102297289511271,-12.899805405527847,-12.895601885961486
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,16,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.6,89.64834065649053,0.011103402964674028,-12.898702061853587,-12.895601885961486
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,16,16,8,89.7,89.84362484838776,0.012305623086884229,-12.897075519801223,-12.893791468314944
