Target_Saving,Actual_Saving,NMSE_KL,NMSE_ILP,Policy,Summary
85.0,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
85.25,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
85.5,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
85.75,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
86.0,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
86.25,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
86.5,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
86.75,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
87.0,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
87.25,87.33214909375565,-15.3658669090271,-15.3658669090271,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 4, 4: 0, 2: 0}"
87.5,87.5,-15.230329570770264,-14.601692485809327,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 8, 'stem.0': 8, 'layers.1.vss.1.in_proj': 8, 'layers.1.vss.1.out_proj': 8, 'layers.0.vss.1.out_proj': 8, 'proj_conv': 8, 'layers.0.vss.1.in_proj': 8, 'layers.0.vss.1.conv2d': 8, 'layers.1.vss.1.conv2d': 8}","{16: 0, 8: 12, 4: 0, 2: 0}"
88.75,88.8736677304751,-14.260762271881104,-14.260762271881104,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 3, 4: 1, 2: 0}"
88.5,88.8736677304751,-14.260762271881104,-14.260762271881104,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 3, 4: 1, 2: 0}"
88.0,88.8736677304751,-14.260762271881104,-14.260762271881104,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 3, 4: 1, 2: 0}"
87.75,88.8736677304751,-14.260762271881104,-14.260762271881104,"{'fc_part3': 8, 'fc_part1': 8, 'fc_part2': 8, 'fc_part0': 4, 'stem.0': 16, 'layers.1.vss.1.in_proj': 16, 'layers.1.vss.1.out_proj': 16, 'layers.0.vss.1.out_proj': 16, 'proj_conv': 16, 'layers.0.vss.1.in_proj': 16, 'layers.0.vss.1.conv2d': 16, 'layers.1.vss.1.conv2d': 16}","{16: 8, 8: 3, 4: 1, 2: 0}"
