param,n_params,delta_L_INT4
encoder.stem.0.weight,576,0.5867323549836874
encoder.layers.0.vss.1.x_proj_weight,8704,0.007042239904403683
encoder.layers.0.vss.1.dt_projs_weight,512,0.00027309693396090906
encoder.layers.0.vss.1.in_proj.weight,4096,0.01366619810461997
encoder.layers.0.vss.1.conv2d.weight,576,0.015398156195878976
encoder.layers.0.vss.1.out_proj.weight,2048,-0.001248551532626152
encoder.layers.1.vss.1.x_proj_weight,8704,0.04425039313733578
encoder.layers.1.vss.1.dt_projs_weight,512,-0.0006215943396091494
encoder.layers.1.vss.1.in_proj.weight,4096,0.008988863155245774
encoder.layers.1.vss.1.conv2d.weight,576,-0.0004679490625858346
encoder.layers.1.vss.1.out_proj.weight,2048,0.04173602938652038
encoder.proj_conv.weight,256,0.009562461152672758
fc_part0,32768,0.0008067476004362112
fc_part1,32768,0.001484670937061311
fc_part2,32768,0.001370517238974564
fc_part3,32768,0.0008803579956292995
fc_part4,32768,0.001280318684875964
fc_part5,32768,0.0015546314790844812
fc_part6,32768,0.0008980900049209567
fc_part7,32768,0.0012108713760971973
fc_part8,32768,0.0015970154851674967
fc_part9,32768,0.0013818017393350535
fc_part10,32768,0.0016821844503283473
fc_part11,32768,0.0008428829908370961
fc_part12,32768,0.0015188353881239874
fc_part13,32768,0.0012824919447302768
fc_part14,32768,0.0007028099894523521
fc_part15,32768,0.0009684962779283462
fc_part16,32768,0.0014895023033022897
fc_part17,32768,0.0011345945298671667
fc_part18,32768,0.0011132515966892215
fc_part19,32768,0.0012922415509819957
fc_part20,32768,0.001533246822655196
fc_part21,32768,0.0008303696662187582
fc_part22,32768,0.0008359331637620843
fc_part23,32768,0.001385740227997298
fc_part24,32768,0.0014639172330498662
fc_part25,32768,0.001382090151309967
fc_part26,32768,0.0003381719440221781
fc_part27,32768,0.0011117862164974207
fc_part28,32768,0.0005598727241158397
fc_part29,32768,0.0016545869037508931
fc_part30,32768,0.0013443228229880338
fc_part31,32768,0.004904459007084361
decoder.fc_decoder.weight,1048576,0.1454316171258688
decoder.decoder.layers.0.self_attn.in_proj_weight,12288,0.0066248369216918845
decoder.decoder.layers.0.self_attn.out_proj.weight,4096,7.124990224838257e-05
decoder.decoder.layers.0.multihead_attn.in_proj_weight,12288,0.00810134530067444
decoder.decoder.layers.0.multihead_attn.out_proj.weight,4096,0.0005474861711263629
decoder.decoder.layers.0.linear1.weight,131072,0.8416317852586508
decoder.decoder.layers.0.linear2.weight,131072,0.15895863123238085
decoder.decoder.layers.1.self_attn.in_proj_weight,12288,-0.011300705187022697
decoder.decoder.layers.1.self_attn.out_proj.weight,4096,0.0020034400746226227
decoder.decoder.layers.1.multihead_attn.in_proj_weight,12288,-0.006437773331999783
decoder.decoder.layers.1.multihead_attn.out_proj.weight,4096,0.0036989291012287095
decoder.decoder.layers.1.linear1.weight,131072,0.4179549743980169
decoder.decoder.layers.1.linear2.weight,131072,0.018778498843312258
