block,bits,kappa
fc_part0,16,0.015412866130828743
fc_part0,8,0.007706433065414371
fc_part0,4,0.0038532165327071857
fc_part0,2,0.0019266082663535928
fc_part1,16,0.015412866130828743
fc_part1,8,0.007706433065414371
fc_part1,4,0.0038532165327071857
fc_part1,2,0.0019266082663535928
fc_part10,16,0.015412866130828743
fc_part10,8,0.007706433065414371
fc_part10,4,0.0038532165327071857
fc_part10,2,0.0019266082663535928
fc_part11,16,0.015412866130828743
fc_part11,8,0.007706433065414371
fc_part11,4,0.0038532165327071857
fc_part11,2,0.0019266082663535928
fc_part12,16,0.015412866130828743
fc_part12,8,0.007706433065414371
fc_part12,4,0.0038532165327071857
fc_part12,2,0.0019266082663535928
fc_part13,16,0.015412866130828743
fc_part13,8,0.007706433065414371
fc_part13,4,0.0038532165327071857
fc_part13,2,0.0019266082663535928
fc_part14,16,0.015412866130828743
fc_part14,8,0.007706433065414371
fc_part14,4,0.0038532165327071857
fc_part14,2,0.0019266082663535928
fc_part15,16,0.015412866130828743
fc_part15,8,0.007706433065414371
fc_part15,4,0.0038532165327071857
fc_part15,2,0.0019266082663535928
fc_part16,16,0.015412866130828743
fc_part16,8,0.007706433065414371
fc_part16,4,0.0038532165327071857
fc_part16,2,0.0019266082663535928
fc_part17,16,0.015412866130828743
fc_part17,8,0.007706433065414371
fc_part17,4,0.0038532165327071857
fc_part17,2,0.0019266082663535928
fc_part18,16,0.015412866130828743
fc_part18,8,0.007706433065414371
fc_part18,4,0.0038532165327071857
fc_part18,2,0.0019266082663535928
fc_part19,16,0.015412866130828743
fc_part19,8,0.007706433065414371
fc_part19,4,0.0038532165327071857
fc_part19,2,0.0019266082663535928
fc_part2,16,0.015412866130828743
fc_part2,8,0.007706433065414371
fc_part2,4,0.0038532165327071857
fc_part2,2,0.0019266082663535928
fc_part20,16,0.015412866130828743
fc_part20,8,0.007706433065414371
fc_part20,4,0.0038532165327071857
fc_part20,2,0.0019266082663535928
fc_part21,16,0.015412866130828743
fc_part21,8,0.007706433065414371
fc_part21,4,0.0038532165327071857
fc_part21,2,0.0019266082663535928
fc_part22,16,0.015412866130828743
fc_part22,8,0.007706433065414371
fc_part22,4,0.0038532165327071857
fc_part22,2,0.0019266082663535928
fc_part23,16,0.015412866130828743
fc_part23,8,0.007706433065414371
fc_part23,4,0.0038532165327071857
fc_part23,2,0.0019266082663535928
fc_part24,16,0.015412866130828743
fc_part24,8,0.007706433065414371
fc_part24,4,0.0038532165327071857
fc_part24,2,0.0019266082663535928
fc_part25,16,0.015412866130828743
fc_part25,8,0.007706433065414371
fc_part25,4,0.0038532165327071857
fc_part25,2,0.0019266082663535928
fc_part26,16,0.015412866130828743
fc_part26,8,0.007706433065414371
fc_part26,4,0.0038532165327071857
fc_part26,2,0.0019266082663535928
fc_part27,16,0.015412866130828743
fc_part27,8,0.007706433065414371
fc_part27,4,0.0038532165327071857
fc_part27,2,0.0019266082663535928
fc_part28,16,0.015412866130828743
fc_part28,8,0.007706433065414371
fc_part28,4,0.0038532165327071857
fc_part28,2,0.0019266082663535928
fc_part29,16,0.015412866130828743
fc_part29,8,0.007706433065414371
fc_part29,4,0.0038532165327071857
fc_part29,2,0.0019266082663535928
fc_part3,16,0.015412866130828743
fc_part3,8,0.007706433065414371
fc_part3,4,0.0038532165327071857
fc_part3,2,0.0019266082663535928
fc_part30,16,0.015412866130828743
fc_part30,8,0.007706433065414371
fc_part30,4,0.0038532165327071857
fc_part30,2,0.0019266082663535928
fc_part31,16,0.015412866130828743
fc_part31,8,0.007706433065414371
fc_part31,4,0.0038532165327071857
fc_part31,2,0.0019266082663535928
fc_part4,16,0.015412866130828743
fc_part4,8,0.007706433065414371
fc_part4,4,0.0038532165327071857
fc_part4,2,0.0019266082663535928
fc_part5,16,0.015412866130828743
fc_part5,8,0.007706433065414371
fc_part5,4,0.0038532165327071857
fc_part5,2,0.0019266082663535928
fc_part6,16,0.015412866130828743
fc_part6,8,0.007706433065414371
fc_part6,4,0.0038532165327071857
fc_part6,2,0.0019266082663535928
fc_part7,16,0.015412866130828743
fc_part7,8,0.007706433065414371
fc_part7,4,0.0038532165327071857
fc_part7,2,0.0019266082663535928
fc_part8,16,0.015412866130828743
fc_part8,8,0.007706433065414371
fc_part8,4,0.0038532165327071857
fc_part8,2,0.0019266082663535928
fc_part9,16,0.015412866130828743
fc_part9,8,0.007706433065414371
fc_part9,4,0.0038532165327071857
fc_part9,2,0.0019266082663535928
layers.0.vss.1.conv2d,16,0.000270929287455974
layers.0.vss.1.conv2d,8,0.000135464643727987
layers.0.vss.1.conv2d,4,6.77323218639935e-05
layers.0.vss.1.conv2d,2,3.386616093199675e-05
layers.0.vss.1.in_proj,16,0.0019266082663535928
