Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
85.0,0.7499999999999969,87.40254071465125,10,1,-15.359474443690788,3.8948469244360924,0.0009,0.08715,0.4219,-14.76596033840006,4.62959789815032,-15.414904792994049,3.9170832871747145,-15.983484653586856,3.1374052138317103,,,,,,,,,,,,,,
85.0,0.7499999999999969,87.40254071465125,20,1,-15.359474443690788,,,,,-14.76596033840006,,-15.414904792994049,,-15.983484653586856,,7.1117217478752135,0.0001,0.0076,0.1478,7.894869915153284,7.1463159067443405,6.293488579995635,,,,,,,
85.0,0.7499999999999969,87.40254071465125,30,1,-15.359474443690788,,,,,-14.76596033840006,,-15.414904792994049,,-15.983484653586856,,,,,,,,,10.422532056236268,0.0,0.0017,0.0391,11.210985597766083,10.458588633768988,9.597527033140679
87.75,0.24462890624999792,87.87704325837623,10,1,-15.14085533354873,3.8927871608257294,0.0013,0.0988,0.45345,-14.563478159538887,4.62732216156237,-15.194167924781292,3.915020042003524,-15.745990845590974,3.135565036485175,,,,,,,,,,,,,,
87.75,0.24462890624999792,87.87704325837623,20,1,-15.14085533354873,,,,,-14.563478159538887,,-15.194167924781292,,-15.745990845590974,,7.1094973948001865,0.0001,0.00905,0.1648,7.892493593242259,7.14410097633355,6.291406858654297,,,,,,,
87.75,0.24462890624999792,87.87704325837623,30,1,-15.14085533354873,,,,,-14.563478159538887,,-15.194167924781292,,-15.745990845590974,,,,,,,,,10.420288815402985,0.0,0.0018,0.0436,11.208598510905805,10.456356916301752,9.595416194393712
88.25,0.23339843749999795,88.45502573828232,10,1,-14.831029594227987,3.889708117759228,0.0014,0.11485,0.5037,-14.268956711186089,4.623879795740948,-14.883374319800037,3.9119304386026212,-15.417235613467506,3.132860100927616,,,,,,,,,,,,,,
88.25,0.23339843749999795,88.45502573828232,20,1,-14.831029594227987,,,,,-14.268956711186089,,-14.883374319800037,,-15.417235613467506,,7.106174771046638,0.0001,0.0099,0.18965,7.88889938575033,7.140785360593744,6.288348969434346,,,,,,,
88.25,0.23339843749999795,88.45502573828232,30,1,-14.831029594227987,,,,,-14.268956711186089,,-14.883374319800037,,-15.417235613467506,,,,,,,,,10.416938180780411,0.0,0.0019,0.0526,11.204988069854672,10.453016264394293,9.592315533438793
89.0,0.22216796874999795,89.03300821818839,10,1,-14.533515868368827,3.8864995174407957,0.0014,0.13685,0.55525,-13.987124695821198,4.6202641458088,-14.584284290904087,3.908727249630068,-15.101142375156487,3.1300533799564136,,,,,,,,,,,,,,
