Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
85.0,0.3007812499999978,85.09061079502695,10,1,-15.363711750716435,3.894886693370342,0.0009,0.087,0.4211,-14.769839679670069,4.62964112292383,-15.419181775253337,3.917122909174612,-15.988150832647962,3.137441671874915,,,,,,,,,,,,,,
85.0,0.3007812499999978,85.09061079502695,20,1,-15.363711750716435,,,,,-14.769839679670069,,-15.419181775253337,,-15.988150832647962,,7.111764736199379,0.0001,0.00755,0.1476,7.894914844326438,7.146358549773657,6.293529971807945,,,,,,,
85.0,0.3007812499999978,85.09061079502695,30,1,-15.363711750716435,,,,,-14.769839679670069,,-15.419181775253337,,-15.988150832647962,,,,,,,,,10.422575397968291,0.0,0.0016,0.03915,11.211030683477409,10.458631618765205,9.597568986796531
85.5,0.2951660156249978,85.47593244829767,10,2,-15.316914287210627,3.8944387339115143,0.001,0.09155,0.4259,-14.710318336469456,4.628955349138416,-15.36455243977131,3.9166209366983757,-15.96725105701799,3.137285714926554,,,,,,,,,,,,,,
85.5,0.2951660156249978,85.47593244829767,20,2,-15.316914287210627,,,,,-14.710318336469456,,-15.36455243977131,,-15.96725105701799,,7.111288877749443,0.0001,0.00815,0.15405,7.8941983843393215,7.145819392258633,6.293358196373604,,,,,,,
85.5,0.2951660156249978,85.47593244829767,30,2,-15.316914287210627,,,,,-14.710318336469456,,-15.36455243977131,,-15.96725105701799,,,,,,,,,10.422096495246887,0.0,0.00165,0.04125,11.210310967010013,10.45808840555993,9.597395391452785
85.75,0.2895507812499978,85.86125410156838,10,2,-15.316342296333046,3.8944334017157556,0.001,0.0915,0.4258,-14.709607039133987,4.628947253275862,-15.3640486009667,3.916616530102316,-15.96678690300832,3.1372822219011733,,,,,,,,,,,,,,
85.75,0.2895507812499978,85.86125410156838,20,2,-15.316342296333046,,,,,-14.709607039133987,,-15.3640486009667,,-15.96678690300832,,7.111283082914352,0.0001,0.0082,0.154,7.894189959167361,7.145814647771816,6.293353982475482,,,,,,,
85.75,0.2895507812499978,85.86125410156838,30,2,-15.316342296333046,,,,,-14.709607039133987,,-15.3640486009667,,-15.96678690300832,,,,,,,,,10.422090641212463,0.0,0.00165,0.0413,11.210302519526536,10.45808362317214,9.597391060134228
86.0,0.27832031249999784,86.2465757548391,10,2,-15.315782347065683,3.8944276229023935,0.001,0.0916,0.4259,-14.709041318981452,4.628940110730067,-15.36351577084879,3.9166109735335,-15.966203491576112,3.137277585260865,,,,,,,,,,,,,,
86.0,0.27832031249999784,86.2465757548391,20,2,-15.315782347065683,,,,,-14.709041318981452,,-15.36351577084879,,-15.966203491576112,,7.111276857829094,0.0001,0.0082,0.15415,7.894182482377883,7.145808586261912,6.293348846172227,,,,,,,
86.0,0.27832031249999784,86.2465757548391,30,2,-15.315782347065683,,,,,-14.709041318981452,,-15.36351577084879,,-15.966203491576112,,,,,,,,,10.422084365606308,0.0,0.00165,0.0413,11.210294989675695,10.458077491509679,9.597385895495512
86.75,0.2670898437499979,87.01721906138053,10,1,-15.360977088007735,3.8948600252747534,0.0009,0.08735,0.42155,-14.767196979822215,4.629610215037185,-15.416447995559203,3.9170972852558164,-15.985293349783674,3.137418201311725,,,,,,,,,,,,,,
86.75,0.2670898437499979,87.01721906138053,20,1,-15.360977088007735,,,,,-14.767196979822215,,-15.416447995559203,,-15.985293349783674,,7.111735820960998,0.0001,0.00765,0.148,7.894882596533099,7.146330828643803,6.293503196299577,,,,,,,
86.75,0.2670898437499979,87.01721906138053,30,1,-15.360977088007735,,,,,-14.767196979822215,,-15.416447995559203,,-15.985293349783674,,,,,,,,,10.422546238565445,0.0,0.00165,0.0392,11.21099829444931,10.45860365571272,9.597541861889027
87.25,0.2558593749999979,87.40254071465125,10,1,-15.359474417656632,3.8948469243168833,0.0009,0.08715,0.4219,-14.765960546090792,4.629597899366011,-15.414904690979172,3.9170832877825603,-15.9834844046725,3.137405211649307,,,,,,,,,,,,,,
87.25,0.2558593749999979,87.40254071465125,20,1,-15.359474417656632,,,,,-14.765960546090792,,-15.414904690979172,,-15.9834844046725,,7.111721747779846,0.0001,0.0076,0.1478,7.894869916941065,7.146315907673987,6.293488576990359,,,,,,,
87.25,0.2558593749999979,87.40254071465125,30,1,-15.359474417656632,,,,,-14.765960546090792,,-15.414904690979172,,-15.9834844046725,,,,,,,,,10.422532056236268,0.0,0.0017,0.0391,11.210985599482353,10.458588634484101,9.597527030707838
87.75,0.24462890624999792,87.78906649808845,10,2,-15.14629990746839,3.8928546614289283,0.00125,0.0985,0.45435,-14.567475304960984,4.6273878982271635,-15.197720169386425,3.915069457936873,-15.755489657807475,3.1356523976105604,,,,,,,,,,,,,,
87.75,0.24462890624999792,87.78906649808845,20,2,-15.14629990746839,,,,,-14.567475304960984,,-15.197720169386425,,-15.755489657807475,,7.109573259568214,0.0001,0.0088,0.16435,7.892564580908205,7.144155547085392,6.291508910249547,,,,,,,
87.75,0.24462890624999792,87.78906649808845,30,2,-15.14629990746839,,,,,-14.567475304960984,,-15.197720169386425,,-15.755489657807475,,,,,,,,,10.420365745019913,0.0,0.0018,0.04305,11.208670120004701,10.456412099118568,9.595520207575676
88.25,0.23339843749999795,88.36584484782804,10,1,-14.840007678493532,3.8897610156059264,0.0014,0.11445,0.50395,-14.274978437165093,4.623864479599845,-14.892590521642564,3.9119971691310655,-15.429800485535354,3.132967412722211,,,,,,,,,,,,,,
88.25,0.23339843749999795,88.36584484782804,20,1,-14.840007678493532,,,,,-14.274978437165093,,-14.892590521642564,,-15.429800485535354,,7.106234642791748,0.0001,0.01015,0.1896,7.88888405852498,7.140860025083225,6.288469283663783,,,,,,,
88.25,0.23339843749999795,88.36584484782804,30,1,-14.840007678493532,,,,,-14.274978437165093,,-14.892590521642564,,-15.429800485535354,,,,,,,,,10.41699863395691,0.0,0.0019,0.05205,11.204972733547391,10.453091922890446,9.59243660714446
88.75,0.22216796874999795,88.94382732773413,10,1,-14.543828220489893,3.8866312478780745,0.0015,0.13575,0.55245,-13.993187206194833,4.62037586064559,-14.595747569610928,3.908862203842305,-15.115658314550464,3.1302019122983515,,,,,,,,,,,,,,
88.75,0.22216796874999795,88.94382732773413,20,1,-14.543828220489893,,,,,-13.993187206194833,,-14.595747569610928,,-15.115658314550464,,7.102856296777725,0.0001,0.012,0.21835,7.885241745972819,7.137493938332771,6.285342796009128,,,,,,,
88.75,0.22216796874999795,88.94382732773413,30,1,-14.543828220489893,,,,,-13.993187206194833,,-14.595747569610928,,-15.115658314550464,,,,,,,,,10.413591823339463,0.0,0.002,0.0616,11.201314011804344,10.44970015100755,9.589266811098371
89.25,0.21093749999999797,89.52180980764021,10,1,-14.254126358594686,3.8832946476340293,0.0017,0.16005,0.6006,-13.718580367165975,4.616640757713478,-14.303391792073981,3.905504794662844,-14.809457153168575,3.127284875365437,,,,,,,,,,,,,,
89.25,0.21093749999999797,89.52180980764021,20,1,-14.254126358594686,,,,,-13.718580367165975,,-14.303391792073981,,-14.809457153168575,,7.099255163908005,0.0001,0.01475,0.25285,7.881341484541227,7.133888891305334,6.282044887757388,,,,,,,
89.25,0.21093749999999797,89.52180980764021,30,1,-14.254126358594686,,,,,-13.718580367165975,,-14.303391792073981,,-14.809457153168575,,,,,,,,,10.409960470104217,0.0,0.0021,0.0749,11.197396073859112,10.446067633139709,9.585923379924402
90.0,0.199707031249998,90.0997922875463,10,2,-13.973648533494421,3.8798490117907525,0.0019,0.1867,0.64835,-13.451213720375607,4.61277130913005,-14.018459702201065,3.902003373653501,-14.517166024323183,3.12431912530227,,,,,,,,,,,,,,
90.0,0.199707031249998,90.0997922875463,20,2,-13.973648533494421,,,,,-13.451213720375607,,-14.018459702201065,,-14.517166024323183,,7.0955369491100315,0.0001,0.01895,0.28995,7.877301048431557,7.130127957000229,6.278691832830353,,,,,,,
90.0,0.199707031249998,90.0997922875463,30,2,-13.973648533494421,,,,,-13.451213720375607,,-14.018459702201065,,-14.517166024323183,,,,,,,,,10.40621104798317,0.0,0.0023,0.0908,11.193337343235394,10.44227785011502,9.582523837095263
90.5,0.188476562499998,90.57617628465637,10,1,-13.7768528821047,3.8772755217432975,0.00225,0.2095,0.68535,-13.265307860113559,4.609904576720917,-13.820474309356097,3.8994239309839522,-14.307813916297887,3.1220450098274135,,,,,,,,,,,,,,
90.5,0.188476562499998,90.57617628465637,20,1,-13.7768528821047,,,,,-13.265307860113559,,-13.820474309356097,,-14.307813916297887,,7.092755616378784,0.0001,0.0223,0.3182,7.874305586651834,7.12735648482734,6.276114891199361,,,,,,,
90.5,0.188476562499998,90.57617628465637,30,1,-13.7768528821047,,,,,-13.265307860113559,,-13.820474309356097,,-14.307813916297887,,,,,,,,,10.403405798244476,0.0,0.0024,0.1051,11.19032810817025,10.439485019885213,9.579910268159617
91.0,0.17724609374999803,91.14064992925735,10,3,-13.47695940145223,3.873196002715826,0.00285,0.2482,0.7296,-12.936687017869275,4.604636742744034,-13.527803327253762,3.8954730476529282,-14.036600971676494,3.1190258061148826,,,,,,,,,,,,,,
91.0,0.17724609374999803,91.14064992925735,20,3,-13.47695940145223,,,,,-12.936687017869275,,-13.527803327253762,,-14.036600971676494,,7.088369624137878,0.0001,0.03135,0.36215,7.868805919711863,7.123113978102168,6.272699670488236,,,,,,,
91.0,0.17724609374999803,91.14064992925735,30,3,-13.47695940145223,,,,,-12.936687017869275,,-13.527803327253762,,-14.036600971676494,,,,,,,,,10.398984682416916,0.0,0.00325,0.1317,11.184803688390282,10.435210211804762,9.576446722964851
91.5,0.16601562499999806,91.7149071314609,10,4,-13.22040874801794,3.869531717532873,0.0032,0.28415,0.776,-12.71071280788571,4.600840414936269,-13.258550460837471,3.891635015401285,-13.755157766366995,3.1156674941726665,,,,,,,,,,,,,,
91.5,0.16601562499999806,91.7149071314609,20,4,-13.22040874801794,,,,,-12.71071280788571,,-13.258550460837471,,-13.755157766366995,,7.084405473637581,0.0001,0.03635,0.4067,7.864833371039987,7.118989609141656,6.268904237830196,,,,,,,
91.5,0.16601562499999806,91.7149071314609,30,4,-13.22040874801794,,,,,-12.71071280788571,,-13.258550460837471,,-13.755157766366995,,,,,,,,,10.394986138391495,0.0,0.0037,0.1547,11.180812179935,10.431054083401383,9.572598818112679
92.25,0.15478515624999808,92.26722658719407,10,1,-13.017576945051948,3.8665233908116816,0.0037,0.3146,0.8168,-12.535569430365596,4.597806491820342,-13.056612580714082,3.888623604355419,-13.516347422329112,3.112687865386204,,,,,,,,,,,,,,
92.25,0.15478515624999808,92.26722658719407,20,1,-13.017576945051948,,,,,-12.535569430365596,,-13.056612580714082,,-13.516347422329112,,7.081145550870896,0.0001,0.04065,0.45095,7.861665271682945,7.115756104503053,6.265526002552472,,,,,,,
92.25,0.15478515624999808,92.26722658719407,30,1,-13.017576945051948,,,,,-12.535569430365596,,-13.056612580714082,,-13.516347422329112,,,,,,,,,10.391697000980377,0.0,0.004,0.17255,11.177629651748711,10.427795737248806,9.569172197744912
92.75,0.1435546874999981,92.84520906710016,10,1,-12.773939944724473,3.8626447331666944,0.0045,0.3578,0.8552,-12.302072234376045,4.593479579554823,-12.81120742021983,3.8847114189198866,-13.261989168860314,3.109291279337415,,,,,,,,,,,,,,
92.75,0.1435546874999981,92.84520906710016,20,1,-12.773939944724473,,,,,-12.302072234376045,,-12.81120742021983,,-13.261989168860314,,7.076955337238312,0.0001,0.05105,0.5004,7.857145397121061,7.111551944982097,6.26167960198415,,,,,,,
92.75,0.1435546874999981,92.84520906710016,30,1,-12.773939944724473,,,,,-12.302072234376045,,-12.81120742021983,,-13.261989168860314,,,,,,,,,10.387470793676377,0.0,0.0056,0.2017,11.173089161273886,10.423559102171112,9.565270896289958
