Target_Saving,Budget,Avg_Saving,SNR_Context,Num_Policies,NMSE_dB,Rate_10,Outage_10dB_95,Outage_10dB_98,Outage_10dB_99,NMSE_dB_Low,Rate_10_Low,NMSE_dB_Mid,Rate_10_Mid,NMSE_dB_High,Rate_10_High,Rate_20,Outage_20dB_95,Outage_20dB_98,Outage_20dB_99,Rate_20_Low,Rate_20_Mid,Rate_20_High,Rate_30,Outage_30dB_95,Outage_30dB_98,Outage_30dB_99,Rate_30_Low,Rate_30_Mid,Rate_30_High
85.0,0.3007812499999978,85.09061079502695,10,1,-15.36186211539107,3.894868636417389,0.0009,0.087,0.4212,-14.768215035546676,4.6296229065000905,-15.416977354085828,3.9171020298856565,-15.986407885982587,3.1374265985185503,,,,,,,,,,,,,,
85.0,0.3007812499999978,85.09061079502695,20,1,-15.36186211539107,,,,,-14.768215035546676,,-15.416977354085828,,-15.986407885982587,,7.111745021176338,0.0001,0.00765,0.14755,7.894896051593362,7.146335992544228,6.293512177853739,,,,,,,
85.0,0.3007812499999978,85.09061079502695,30,1,-15.36186211539107,,,,,-14.768215035546676,,-15.416977354085828,,-15.986407885982587,,,,,,,,,10.422555496168137,0.0,0.0017,0.03895,11.211011853272428,10.458608871744861,9.597550859685992
85.5,0.2951660156249978,85.47593244829767,10,1,-15.361503909922831,3.8948651205420495,0.0009,0.0869,0.42155,-14.767785928741803,4.629618363889592,-15.416706750167531,3.9170991683263727,-15.986043662651408,3.1374234552858544,,,,,,,,,,,,,,
85.5,0.2951660156249978,85.47593244829767,20,1,-15.361503909922831,,,,,-14.767785928741803,,-15.416706750167531,,-15.986043662651408,,7.111741213321686,0.0001,0.00765,0.14745,7.894891274854961,7.146332963755836,6.293508559930511,,,,,,,
85.5,0.2951660156249978,85.47593244829767,30,1,-15.361503909922831,,,,,-14.767785928741803,,-15.416706750167531,,-15.986043662651408,,,,,,,,,10.42255164399147,0.0,0.0017,0.03885,11.211007045569646,10.45860581435196,9.597547168348159
85.75,0.2895507812499978,85.86125410156838,10,1,-15.361130823041496,3.8948620737195014,0.0009,0.087,0.42155,-14.767446337034471,4.629613647721238,-15.416425979833846,3.9170974964286014,-15.985520900738923,3.1374207030610592,,,,,,,,,,,,,,
85.75,0.2895507812499978,85.86125410156838,20,1,-15.361130823041496,,,,,-14.767446337034471,,-15.416425979833846,,-15.985520900738923,,7.111737927603722,0.0001,0.00765,0.14755,7.894886222083052,7.146331107680784,6.293505611826106,,,,,,,
85.75,0.2895507812499978,85.86125410156838,30,1,-15.361130823041496,,,,,-14.767446337034471,,-15.416425979833846,,-15.985520900738923,,,,,,,,,10.422548330068588,0.0,0.0016,0.0389,11.211001940952066,10.45860394190083,9.597544203857844
86.0,0.27832031249999784,86.2465757548391,10,1,-15.360639863123035,3.894857662010193,0.0009,0.0872,0.42135,-14.767024347059742,4.629610187004767,-15.416140491813303,3.9170945975404337,-15.984704224161284,3.137413826058893,,,,,,,,,,,,,,
86.0,0.27832031249999784,86.2465757548391,20,1,-15.360639863123035,,,,,-14.767024347059742,,-15.416140491813303,,-15.984704224161284,,7.1117331699132915,0.0001,0.0076,0.14735,7.894882745276544,7.146328015962474,6.293497905510814,,,,,,,
86.0,0.27832031249999784,86.2465757548391,30,1,-15.360639863123035,,,,,-14.767024347059742,,-15.416140491813303,,-15.984704224161284,,,,,,,,,10.422543541431427,0.0,0.0016,0.03905,11.210998472369354,10.458600836023287,9.597536410604205
86.75,0.2670898437499979,87.01721906138053,10,1,-15.359798337037745,3.8948493737459184,0.0009,0.0872,0.4218,-14.766128155442681,4.629598824721865,-15.415207043576247,3.9170860221948036,-15.984039946307789,3.1374089009120683,,,,,,,,,,,,,,
86.75,0.2670898437499979,87.01721906138053,20,1,-15.359798337037745,,,,,-14.766128155442681,,-15.415207043576247,,-15.984039946307789,,7.111724315118789,0.0001,0.00765,0.14765,7.894870848303865,7.146318807956624,6.293492448143884,,,,,,,
86.75,0.2670898437499979,87.01721906138053,30,1,-15.359798337037745,,,,,-14.766128155442681,,-15.415207043576247,,-15.984039946307789,,,,,,,,,10.42253462767601,0.0,0.0016,0.03905,11.210986525696342,10.458591566160187,9.597530887908295
87.25,0.2558593749999979,87.40254071465125,10,1,-15.359474417656632,3.8948469243168833,0.0009,0.08715,0.4219,-14.765960546090792,4.629597899366011,-15.414904690979172,3.9170832877825603,-15.9834844046725,3.137405211649307,,,,,,,,,,,,,,
87.25,0.2558593749999979,87.40254071465125,20,1,-15.359474417656632,,,,,-14.765960546090792,,-15.414904690979172,,-15.9834844046725,,7.111721747779846,0.0001,0.0076,0.1478,7.894869916941065,7.146315907673987,6.293488576990359,,,,,,,
87.25,0.2558593749999979,87.40254071465125,30,1,-15.359474417656632,,,,,-14.765960546090792,,-15.414904690979172,,-15.9834844046725,,,,,,,,,10.422532056236268,0.0,0.0017,0.0391,11.210985599482353,10.458588634484101,9.597527030707838
