l,r,b,omega_nmse
0,1,8,3.193889698013663e-06
0,1,4,0.0013138010401278733
0,1,2,0.026782959422469138
0,2,8,7.29521862231195e-06
0,2,4,0.0026857571134343743
0,2,2,0.049692527731787416
0,3,8,1.1654019495472311e-05
0,3,4,0.0038806998047977684
0,3,2,0.07704490083986894
0,4,8,1.774508971720934e-05
0,4,4,0.00582264858414419
0,4,2,0.10173662016084417
0,5,8,2.1906458493322135e-05
0,5,4,0.006953799630375579
0,5,2,0.12190595576083288
0,6,8,2.5879773730412125e-05
0,6,4,0.008559887914080173
0,6,2,0.14765107766604052
1,2,8,4.0012926328927275e-06
1,2,4,0.0014079491767566652
1,2,2,0.024497448665089905
1,3,8,8.29486413858831e-06
1,3,4,0.002630395410070196
1,3,2,0.0516912906832993
1,4,8,1.4354526624083519e-05
1,4,4,0.004583688834449276
1,4,2,0.07710799607178197
1,5,8,1.843487354926765e-05
1,5,4,0.005731270789494738
1,5,2,0.09729765255367383
1,6,8,2.2419079905375837e-05
1,6,4,0.007343040381511673
1,6,2,0.12257033341964707
1,7,8,3.22173252236098e-05
1,7,4,0.008682625884748996
1,7,2,0.148225708137732
2,3,8,4.344736086204648e-06
2,3,4,0.001258107176143676
2,3,2,0.02881867151260376
2,4,8,1.0404583718627691e-05
2,4,4,0.0032919433975592254
2,4,2,0.05555122410459444
2,5,8,1.4535361342132091e-05
2,5,4,0.004455056135216728
2,5,2,0.0759033983095549
2,6,8,1.856481241993606e-05
2,6,4,0.006080383623298258
2,6,2,0.1012849202551879
2,7,8,2.8349177679046988e-05
2,7,4,0.007420421865861863
2,7,2,0.12612952863192187
2,8,8,3.442657417617738e-05
2,8,4,0.009457750601507723
2,8,2,0.15452609156696126
3,4,8,5.958904512226581e-06
3,4,4,0.0021071355685126037
3,4,2,0.02887166463062167
3,5,8,1.005661841481924e-05
3,5,4,0.003291869405657053
3,5,2,0.049651563308481125
3,6,8,1.411960762925446e-05
3,6,4,0.004939628427661955
3,6,2,0.07440793484086171
3,7,8,2.3925597686320543e-05
3,7,4,0.006306888274708763
3,7,2,0.0999674442234449
3,8,8,3.011886398307979e-05
3,8,4,0.008338301085308194
3,8,2,0.12828805290227757
3,9,8,3.34596648812294e-05
3,9,4,0.00958143947403878
3,9,2,0.1489417144703679
4,5,8,4.001406952738762e-06
4,5,4,0.0012453861313406378
4,5,2,0.022759268974605947
4,6,8,8.116896403953434e-06
4,6,4,0.0029160205446183683
4,6,2,0.048635346227977425
4,7,8,1.8022166285663842e-05
4,7,4,0.00431953837685287
4,7,2,0.07541730916043743
4,8,8,2.4128795973956584e-05
4,8,4,0.006447780922614038
4,8,2,0.10414267965676263
4,9,8,2.7440378675237297e-05
4,9,4,0.007704671378107742
4,9,2,0.12495353301903232
4,10,8,3.0297819012776017e-05
4,10,4,0.008941489749588073
4,10,2,0.1534540376513265
5,6,8,4.131499724462629e-06
5,6,4,0.0017099272365681828
5,6,2,0.02752012955872342
5,7,8,1.3956527831032872e-05
5,7,4,0.003121863575745374
5,7,2,0.05427306524803862
5,8,8,2.00637670699507e-05
5,8,4,0.005268951198924333
5,8,2,0.08358433410422876
5,9,8,2.344313128851354e-05
5,9,4,0.00652615398131311
5,9,2,0.10444305512579158
5,10,8,2.6300477236509323e-05
5,10,4,0.007754455205239355
5,10,2,0.13270250919451937
5,11,8,3.152578328736126e-05
5,11,4,0.009268285388499498
5,11,2,0.15715793970925734
6,7,8,9.814615687355399e-06
6,7,4,0.0014458715237211435
6,7,2,0.028529471972584725
6,8,8,1.589504242874682e-05
6,8,4,0.0036557056217920037
6,8,2,0.058244938594009726
6,9,8,1.9250839948654175e-05
6,9,4,0.004931787768844515
6,9,2,0.07940037655448541
6,10,8,2.2023972915485503e-05
6,10,4,0.006153706065844745
6,10,2,0.10723027663426474
6,11,8,2.7243510726839302e-05
6,11,4,0.007668631486501544
6,11,2,0.13154683733945713
6,12,8,3.6443514237180354e-05
6,12,4,0.009866688456572592
