l,r,b,omega_nmse
0,1,8,2.2873362759128213e-05
0,1,4,0.003414170493837446
0,1,2,0.04418134959372692
0,2,8,3.872654316946864e-05
0,2,4,0.00789651400721632
0,2,2,0.0832661415527109
0,3,8,7.795411427505314e-05
0,3,4,0.01662644764385186
0,3,2,0.12395945163634606
0,4,8,9.861538405530155e-05
0,4,4,0.019170292890584098
0,4,2,0.15698125518378803
0,5,8,0.00012222976069897412
0,5,4,0.02579558442342095
0,5,2,0.1908191137258429
0,6,8,0.0001723013556562364
0,6,4,0.031635716249560936
0,6,2,0.2298644188881386
1,2,8,1.5588985662907363e-05
1,2,4,0.004941647013789043
1,2,2,0.04516501919808798
1,3,8,5.5033282097429034e-05
1,3,4,0.014104105631029233
1,3,2,0.08802993114818819
1,4,8,7.584164487197995e-05
1,4,4,0.016754958743741735
1,4,2,0.12171094146915712
1,5,8,9.918941059149802e-05
1,5,4,0.023480589075153692
1,5,2,0.15647507133488545
1,6,8,0.00014875127621926366
1,6,4,0.02926663962076418
1,6,2,0.19680893507492728
1,7,8,0.0001797713814303279
1,7,4,0.033116605106415224
1,7,2,0.22695634220992214
2,3,8,4.085006141103804e-05
2,3,4,0.009588457059534266
2,3,2,0.04764485700982623
2,4,8,6.041693021543324e-05
2,4,4,0.01244102356969379
2,4,2,0.08361210986771621
2,5,8,8.372404323890805e-05
2,5,4,0.019353072747634724
2,5,2,0.1181807805156801
2,6,8,0.0001332361032254994
2,6,4,0.025170874736225233
2,6,2,0.16018026250232942
2,7,8,0.00016568623860366643
2,7,4,0.02892113874363713
2,7,2,0.1915301480822731
2,8,8,0.00017627772558480501
2,8,4,0.037609879093104974
2,8,2,0.23812588494536466
3,4,8,2.091465527191758e-05
3,4,4,0.003512091326713562
3,4,2,0.03935248798453249
3,5,8,4.647845299914479e-05
3,5,4,0.010932903133938089
3,5,2,0.0754111793240998
3,6,8,9.26158310379833e-05
3,6,4,0.01729457824775018
3,6,2,0.11769638650123962
3,7,8,0.00012630791775882245
3,7,4,0.021057428696984425
3,7,2,0.15004106141668744
3,8,8,0.00013883733726106583
3,8,4,0.029786515339883045
3,8,2,0.19754527757954785
3,9,8,0.0001685669605154544
3,9,4,0.03819689055406488
3,9,2,0.23120897610452956
4,5,8,2.576112477108836e-05
4,5,4,0.008096878942102193
4,5,2,0.04067691900306381
4,6,8,7.191120255738496e-05
4,6,4,0.014479525455040857
4,6,2,0.0845258849189151
4,7,8,0.00010659252665936947
4,7,4,0.018400145026994868
4,7,2,0.11625075837341137
4,8,8,0.00011982887145131826
4,8,4,0.027281474955333396
4,8,2,0.16298607029137202
4,9,8,0.00014975909288041293
4,9,4,0.03570257728886791
4,9,2,0.19688638463360258
4,10,8,0.00018439654484391212
4,10,4,0.03968956733294763
4,10,2,0.22408072847020813
5,6,8,4.6689438819885255e-05
5,6,4,0.006696246085362509
5,6,2,0.046077507505053655
5,7,8,8.073274111375213e-05
5,7,4,0.010802041443204508
5,7,2,0.07857184590795077
5,8,8,9.473860962316393e-05
5,8,4,0.01978005121140741
5,8,2,0.1255401389232371
5,9,8,0.00012401755759492518
5,9,4,0.02811891181175597
5,9,2,0.15959915980515071
5,10,8,0.00015927182659506797
5,10,4,0.032297157115442676
5,10,2,0.1872077425845433
5,11,8,0.00019604495647363365
5,11,4,0.03906513643995859
5,11,2,0.22377412374098785
6,7,8,3.4602997079491615e-05
6,7,4,0.004739604268828407
6,7,2,0.036633346155146136
6,8,8,5.0038659665733575e-05
6,8,4,0.013963777411868796
6,8,2,0.08417631839164533
6,9,8,7.879462353885174e-05
6,9,4,0.022464147949544714
6,9,2,0.11929209630084224
6,10,8,0.00011463906364515424
6,10,4,0.02682082501635887
6,10,2,0.14692048209947534
6,11,8,0.0001520732454955578
6,11,4,0.033776399002922695
6,11,2,0.18457559016426095
6,12,8,0.00018649714831262828
6,12,4,0.04135027415161021
6,12,2,0.2159408875711728
7,8,8,1.6663150489330293e-05
7,8,4,0.009861944484384731
7,8,2,0.05197678192430176
7,9,8,4.481536941602826e-05
7,9,4,0.018314504853775726
7,9,2,0.0885563706167508
7,10,8,7.974450550973416e-05
7,10,4,0.022746170687535778
7,10,2,0.11741375506282783
7,11,8,0.00011720074447803199
7,11,4,0.029978033394692467
7,11,2,0.15563511246782727
7,12,8,0.00015434928764589131
7,12,4,0.03747670818497427
7,12,2,0.18738450202462265
7,13,8,0.00019357735370285808
7,13,4,0.0430233132511843
7,13,2,0.22253937675771304
8,9,8,2.8722590813413262e-05
8,9,4,0.009346870081080124
8,9,2,0.041460214825486764
8,10,8,6.384001127444207e-05
8,10,4,0.014200081984745339
8,10,2,0.07266866579004563
8,11,8,0.00010012169061228632
8,11,4,0.021796012845868244
8,11,2,0.11317755173728801
8,12,8,0.00013696869821287693
8,12,4,0.02962407778087072
8,12,2,0.14604172487077302
8,13,8,0.0001779072747565806
8,13,4,0.035044364928593856
8,13,2,0.1827530693736393
8,14,8,0.00020465614916756749
8,14,4,0.03831509818802588
8,14,2,0.21392404176001437
9,10,8,3.720991681329906e-05
9,10,4,0.0057163054424338045
9,10,2,0.03521262376741506
9,11,8,7.51691598445177e-05
9,11,4,0.01362429698263295
9,11,2,0.0768400346126873
9,12,8,0.00011172623545862735
9,12,4,0.021773226076224818
9,12,2,0.11055413003494031
9,13,8,0.0001508447793778032
9,13,4,0.02724189370800741
9,13,2,0.14867379545834847
9,14,8,0.0001759620558936149
9,14,4,0.030912675230251624
9,14,2,0.18021367942397482
9,15,8,0.00019974210783839225
9,15,4,0.03516647156313993
9,15,2,0.21221377721508033
10,11,8,3.702761307358742e-05
10,11,4,0.008391010500164702
10,11,2,0.045040908443322404
10,12,8,7.698708157986403e-05
10,12,4,0.016963462270470336
