label,target_saving,gamma,outage,nmse_db
QAT,85.0,0.99,1.0,-4.6966432309671715
QAT,85.0,0.95,0.7327,-4.6966432309671715
QAT,85.5,0.99,1.0,-4.663128377171138
QAT,85.5,0.95,0.74125,-4.663128377171138
QAT,86.0,0.99,1.0,-4.665272236673004
QAT,86.0,0.95,0.74295,-4.665272236673004
QAT,86.5,0.99,1.0,-4.6522498687480915
QAT,86.5,0.95,0.7466,-4.6522498687480915
QAT,87.0,0.99,1.0,-4.472771460709613
QAT,87.0,0.95,0.79395,-4.472771460709613
QAT,87.5,0.99,1.0,-4.247061675154394
QAT,87.5,0.95,0.85735,-4.247061675154394
QAT,88.0,0.99,1.0,-3.9253549005466475
QAT,88.0,0.95,0.92825,-3.9253549005466475
QAT,88.5,0.99,1.0,-3.7209454483348563
QAT,88.5,0.95,0.9619,-3.7209454483348563
QAT,89.0,0.99,1.0,-3.3979580789528367
QAT,89.0,0.95,0.99045,-3.3979580789528367
QAT,89.5,0.99,1.0,-3.2153163399383384
QAT,89.5,0.95,0.9979,-3.2153163399383384
QAT,90.0,0.99,1.0,-3.068540231217598
QAT,90.0,0.95,0.99935,-3.068540231217598
QAT,90.5,0.99,1.0,-2.7546994646910212
QAT,90.5,0.95,1.0,-2.7546994646910212
QAT,91.0,0.99,1.0,-2.6542739385353213
QAT,91.0,0.95,1.0,-2.6542739385353213
QAT,91.5,0.99,1.0,-2.358033489021491
QAT,91.5,0.95,1.0,-2.358033489021491
QAT,92.0,0.99,1.0,-2.1127854182287966
QAT,92.0,0.95,1.0,-2.1127854182287966
QAT,92.5,0.99,1.0,-2.0702013602926894
QAT,92.5,0.95,1.0,-2.0702013602926894
QAT,93.0,0.99,1.0,-1.8600380975462039
QAT,93.0,0.95,1.0,-1.8600380975462039
QAT,93.5,0.99,0.9997,-4.97071355315189
QAT,93.5,0.95,0.643,-4.97071355315189
QAT,94.0,0.99,0.9997,-4.97071355315189
QAT,94.0,0.95,0.643,-4.97071355315189
QAT,94.5,0.99,0.9997,-4.97071355315189
QAT,94.5,0.95,0.643,-4.97071355315189
QAT,95.0,0.99,0.9997,-4.97071355315189
QAT,95.0,0.95,0.643,-4.97071355315189
QAT,95.5,0.99,0.9997,-4.97071355315189
QAT,95.5,0.95,0.643,-4.97071355315189
QAT,96.0,0.99,0.9997,-4.97071355315189
QAT,96.0,0.95,0.643,-4.97071355315189
QAT,96.5,0.99,0.9997,-4.97071355315189
QAT,96.5,0.95,0.643,-4.97071355315189
QAT,97.0,0.99,0.9997,-4.97071355315189
QAT,97.0,0.95,0.643,-4.97071355315189
