encoder2.conv,encoder1.conv3x3_bn.conv,replace_efc_part11,replace_efc_part30,replace_efc_part20,replace_efc_part3,replace_efc_part14,replace_efc_part19,replace_efc_part12,replace_efc_part2,replace_efc_part17,replace_efc_part7,replace_efc_part10,replace_efc_part1,replace_efc_part5,replace_efc_part21,replace_efc_part6,replace_efc_part22,replace_efc_part15,replace_efc_part18,replace_efc_part31,replace_efc_part24,replace_efc_part29,replace_efc_part27,replace_efc_part16,replace_efc_part4,replace_efc_part9,replace_efc_part23,replace_efc_part26,replace_efc_part28,replace_efc_part0,replace_efc_part8,replace_efc_part25,replace_efc_part13,encoder_conv.conv1x1_bn.conv,se.fc.0,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,sa.spatial.conv,se.fc.2,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.0,85.15327533313885,0.007070924162554354,-13.00376671051601,-13.001507477165056
16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.1,85.15327533313885,0.007070924162554354,-13.00376671051601,-13.001507477165056
16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.15,85.15370432866014,0.007071086874567484,-13.00376671051601,-13.001507477165056
16,16,16,16,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,85.05,85.15446698736466,0.007076836372013844,-13.00376671051601,-13.001507477165056
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.2,85.54375658984787,0.007403136003777225,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.25,85.54375658984787,0.007403136003777225,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.3,85.54375658984787,0.007403136003777225,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.35,85.54418558536916,0.007403298715790356,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.45,85.54418558536916,0.007403298715790356,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.5,85.54418558536916,0.007403298715790356,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,85.4,85.54494824407367,0.007409048213236715,-13.003452081425404,-13.000877801595392
16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,16,85.9,85.93390418337366,0.007771664200756566,-13.002783275979352,-13.000279574144649
16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.85,85.93423784655688,0.007771694803561271,-13.002783275979352,-13.000279574144649
16,16,16,16,8,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,85.8,85.93423784655688,0.0077690579712703005,-13.002783275979352,-13.000279574144649
16,16,16,16,8,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.75,85.93466684207817,0.007769220683283431,-13.002783275979352,-13.000279574144649
16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.65,85.93466684207817,0.007771857515574402,-13.002783275979352,-13.000279574144649
16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.6,85.93466684207817,0.007771857515574402,-13.002783275979352,-13.000279574144649
16,16,16,16,8,16,8,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,85.7,85.93466684207817,0.007769220683283431,-13.002783275979352,-13.000279574144649
16,16,16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,85.55,85.93542950078267,0.007777607013020761,-13.002783275979352,-13.000279574144649
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,8,86.2,86.32471910326589,0.008137616771054344,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,86.15,86.32514809878718,0.008137779483067474,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,8,16,8,86.3,86.32514809878718,0.008137779483067474,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,85.95,86.3259107574917,0.008143528980513834,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.0,86.3259107574917,0.008143528980513834,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.05,86.3259107574917,0.008143528980513834,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.1,86.3259107574917,0.008143528980513834,-13.002183762501769,-12.999624299137212
16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,16,8,16,8,86.25,86.3259107574917,0.008143528980513834,-13.002183762501769,-12.999624299137212
