encoder2.conv,replace_efc_part30,encoder1.conv3x3_bn.conv,replace_efc_part11,replace_efc_part17,replace_efc_part15,replace_efc_part5,replace_efc_part20,replace_efc_part10,replace_efc_part3,replace_efc_part31,replace_efc_part7,replace_efc_part9,replace_efc_part14,replace_efc_part25,replace_efc_part12,replace_efc_part2,replace_efc_part21,replace_efc_part13,replace_efc_part8,replace_efc_part29,replace_efc_part22,replace_efc_part23,replace_efc_part19,replace_efc_part24,replace_efc_part6,replace_efc_part26,replace_efc_part1,replace_efc_part0,replace_efc_part28,replace_efc_part18,replace_efc_part4,replace_efc_part16,replace_efc_part27,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,se.fc.0,sa.spatial.conv,encoder1.conv9x1_bn.conv,se.fc.2,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,16,8,16,16,8,16,8,8,88.0,88.08669904152868,0.0006690440903788515,-13.01519156367878,-13.012410514065326
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,16,16,16,8,88.2,88.28134384277028,0.0009023475329879762,-13.014884728532047,-13.012050736396441
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,16,16,8,16,16,8,88.1,88.28172517212253,0.0009034080838034161,-13.014884728532047,-13.012050736396441
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,16,16,16,8,88.3,88.47658447112478,0.0011411862829383485,-13.014056310060724,-13.011554872713704
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,16,16,16,16,8,8,88.4,88.47679896888543,0.0011413526757503064,-13.014056310060724,-13.011554872713704
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,16,16,8,16,16,8,88.5,88.67220642883154,0.001398001784665192,-13.014056310060724,-13.011239832763543
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,16,16,8,16,8,8,88.6,88.6724209265922,0.00139816817747715,-13.013985802739004,-13.011239832763543
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,16,16,16,8,88.7,88.8670657278338,0.0016580333501433364,-13.013840481215311,-13.011122346098084
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,16,16,8,16,8,8,88.8,88.8676615549467,0.0016592602937707342,-13.013840481215311,-13.011122346098084
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,16,16,16,16,16,8,89.0,89.0623063561883,0.001927638188049863,-13.013413729975554,-13.010660584042157
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,8,8,8,8,8,8,8,16,16,8,16,16,8,88.9,89.06268768554057,0.0019286987388653029,-13.013413729975554,-13.010660584042157
