encoder1.conv3x3_bn.conv,encoder_fc_part19,encoder_fc_part12,encoder_fc_part1,encoder_fc_part8,encoder_fc_part9,encoder_fc_part14,encoder_fc_part20,encoder_fc_part27,encoder_fc_part2,encoder_fc_part10,encoder_fc_part0,encoder_fc_part31,encoder_fc_part13,encoder_fc_part5,encoder_fc_part24,encoder_fc_part22,encoder_fc_part4,encoder_fc_part3,encoder_fc_part28,encoder_fc_part23,encoder_fc_part25,encoder_fc_part17,encoder_fc_part26,encoder_fc_part16,encoder_fc_part30,encoder_fc_part11,encoder_fc_part6,encoder_fc_part21,encoder_fc_part15,encoder_fc_part29,encoder2.conv,encoder_fc_part7,encoder_fc_part18,encoder_conv.conv1x1_bn.conv,encoder1.conv1x9_bn.conv,encoder1.conv9x1_bn.conv,Target_Saving,Actual_Saving,Total_Omega,NMSE_dB,NMSE_dB_ILP
16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.0,85.15520706989801,0.0308848007763426,-12.868430062286771,-12.86302742766913
16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.05,85.15520706989801,0.030883157961706743,-12.868430062286771,-12.86302742766913
16,16,16,16,16,8,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.1,85.15520706989801,0.03090739269500719,-12.868430062286771,-12.86302742766913
16,16,16,16,16,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.15,85.15520706989801,0.030883157961706743,-12.866636638254343,-12.86302742766913
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.2,85.54577545369247,0.0326305503401816,-12.865464575360445,-12.861845734905597
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.25,85.54577545369247,0.03263219315481746,-12.865464575360445,-12.861845734905597
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.3,85.54577545369247,0.0326305503401816,-12.865464575360445,-12.861845734905597
16,16,16,16,8,16,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.35,85.54577545369247,0.03269993162313451,-12.865464575360445,-12.861845734905597
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.4,85.54577545369247,0.0326305503401816,-12.865464575360445,-12.861845734905597
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.45,85.54577545369247,0.03263219315481746,-12.863161841676206,-12.861845734905597
16,16,16,16,16,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.5,85.54577545369247,0.03263219315481746,-12.863161841676206,-12.861845734905597
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.9,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.85,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.8,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.75,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.65,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.6,85.93634383748694,0.034447324001609374,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.55,85.93634383748694,0.034447324001609374,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,85.7,85.93634383748694,0.03444568118697351,-12.863161841676206,-12.859700421181358
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,85.95,86.32691222128139,0.0363667778906783,-12.86155390442103,-12.857564235098412
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.0,86.32691222128139,0.0363667778906783,-12.86155390442103,-12.857564235098412
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.05,86.32691222128139,0.0363667778906783,-12.86155390442103,-12.857564235098412
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.1,86.32691222128139,0.0363667778906783,-12.86155390442103,-12.857564235098412
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.15,86.32691222128139,0.036365135076042436,-12.86155390442103,-12.857564235098412
16,16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.2,86.32691222128139,0.0363667778906783,-12.86155390442103,-12.857564235098412
16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.25,86.32691222128139,0.036407459620717716,-12.86155390442103,-12.857564235098412
16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.3,86.32691222128139,0.036407459620717716,-12.86155390442103,-12.857564235098412
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.6,86.71748060507586,0.0383285563244225,-12.859286767189001,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.7,86.71748060507586,0.0383285563244225,-12.859286767189001,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.65,86.71748060507586,0.03832691350978664,-12.859286767189001,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,16,8,86.55,86.71748060507586,0.03832691350978664,-12.859286767189001,-12.8561108726748
16,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,16,8,16,86.5,86.71748060507586,0.0383285563244225,-12.859286767189001,-12.8561108726748
