Policy,Actual_Saving,KL_Score,MSE,NMSE_dB,Target_Saving,MSE_Smoothed
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 8, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.15504304738073,9.886879,0.25794780254364014,-5.884681940078735,85.0,0.25794780254364014
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 8, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.15504304738073,9.886879,0.25794780254364014,-5.884681940078735,85.05,0.25794780254364014
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 8, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.15504304738073,9.886879,0.25794780254364014,-5.884681940078735,85.1,0.25794780254364014
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 8, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.15504304738073,9.886879,0.25794780254364014,-5.884681940078735,85.14999999999999,0.25794780254364014
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.19999999999999,0.26233065128326416
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.24999999999999,0.26233065128326416
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.29999999999998,0.26233065128326416
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.34999999999998,0.26233065128326416
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.39999999999998,0.26233065128326416
"{'conv2d_1': 16, 'dense_1_part0': 8, 'dense_1_part1': 4, 'dense_1_part2': 4, 'dense_1_part3': 4, 'dense_1_part4': 4, 'dense_1_part5': 4, 'dense_1_part6': 4, 'dense_1_part7': 4, 'dense_1_part8': 4, 'dense_1_part9': 4, 'dense_1_part10': 4, 'dense_1_part11': 4, 'dense_1_part12': 4, 'dense_1_part13': 4, 'dense_1_part14': 4, 'dense_1_part15': 4, 'dense_1_part16': 8, 'dense_1_part17': 4, 'dense_1_part18': 8, 'dense_1_part19': 4, 'dense_1_part20': 4, 'dense_1_part21': 4, 'dense_1_part22': 4, 'dense_1_part23': 4, 'dense_1_part24': 4, 'dense_1_part25': 4, 'dense_1_part26': 4, 'dense_1_part27': 8, 'dense_1_part28': 4, 'dense_1_part29': 4, 'dense_1_part30': 4, 'dense_1_part31': 8}",85.54565463679606,9.886879,0.26233065128326416,-5.811509490013123,85.44999999999997,0.26233065128326416
